"","Country","Region","Market","Product","Date","Open","High","Low","Close","Currency"
"","Cameroon","Market Average","Market Average","food_price_index","2010-04-01","0.83","0.83","0.82","0.83","XAF"
"","Cameroon","Market Average","Market Average","food_price_index","2010-05-01","0.83","0.83","0.83","0.83","XAF"
"","Cameroon","Market Average","Market Average","food_price_index","2010-06-01","0.83","0.84","0.83","0.83","XAF"
"","Cameroon","Market Average","Market Average","food_price_index","2010-07-01","0.84","0.84","0.83","0.83","XAF"
"","Cameroon","Market Average","Market Average","food_price_index","2010-08-01","0.83","0.84","0.83","0.83","XAF"
"","Cameroon","Market Average","Market Average","food_price_index","2010-09-01","0.83","0.84","0.83","0.83","XAF"
"","Cameroon","Market Average","Market Average","food_price_index","2010-10-01","0.84","0.84","0.83","0.84","XAF"
"","Cameroon","Market Average","Market Average","food_price_index","2010-11-01","0.84","0.84","0.84","0.84","XAF"
"","Cameroon","Market Average","Market Average","food_price_index","2010-12-01","0.84","0.84","0.83","0.84","XAF"
"","Cameroon","Market Average","Market Average","food_price_index","2011-01-01","0.84","0.85","0.84","0.84","XAF"
"","Cameroon","Market Average","Market Average","food_price_index","2011-03-01","0.84","0.84","0.84","0.84","XAF"
"","Cameroon","Market Average","Market Average","food_price_index","2011-04-01","0.85","0.85","0.84","0.85","XAF"
"","Cameroon","Market Average","Market Average","food_price_index","2011-05-01","0.85","0.86","0.85","0.86","XAF"
"","Cameroon","Market Average","Market Average","food_price_index","2011-06-01","0.86","0.86","0.86","0.86","XAF"
"","Cameroon","Market Average","Market Average","food_price_index","2011-07-01","0.86","0.87","0.86","0.87","XAF"
"","Cameroon","Market Average","Market Average","food_price_index","2011-08-01","0.87","0.87","0.86","0.87","XAF"
"","Cameroon","Market Average","Market Average","food_price_index","2011-09-01","0.87","0.87","0.87","0.87","XAF"
"","Cameroon","Market Average","Market Average","food_price_index","2011-10-01","0.87","0.88","0.87","0.87","XAF"
"","Cameroon","Market Average","Market Average","food_price_index","2011-11-01","0.88","0.88","0.87","0.88","XAF"
"","Cameroon","Market Average","Market Average","food_price_index","2011-12-01","0.88","0.88","0.87","0.88","XAF"
"","Cameroon","Market Average","Market Average","food_price_index","2012-01-01","0.88","0.89","0.87","0.89","XAF"
"","Cameroon","Market Average","Market Average","food_price_index","2012-02-01","0.89","0.89","0.88","0.89","XAF"
"","Cameroon","Market Average","Market Average","food_price_index","2012-03-01","0.89","0.89","0.89","0.89","XAF"
"","Cameroon","Market Average","Market Average","food_price_index","2012-04-01","0.89","0.9","0.89","0.89","XAF"
"","Cameroon","Market Average","Market Average","food_price_index","2012-05-01","0.89","0.9","0.89","0.9","XAF"
"","Cameroon","Market Average","Market Average","food_price_index","2012-06-01","0.9","0.9","0.89","0.9","XAF"
"","Cameroon","Market Average","Market Average","food_price_index","2012-07-01","0.91","0.91","0.9","0.9","XAF"
"","Cameroon","Market Average","Market Average","food_price_index","2012-08-01","0.9","0.91","0.9","0.91","XAF"
"","Cameroon","Market Average","Market Average","food_price_index","2012-09-01","0.91","0.91","0.9","0.91","XAF"
"","Cameroon","Market Average","Market Average","food_price_index","2012-10-01","0.91","0.91","0.91","0.91","XAF"
"","Cameroon","Market Average","Market Average","food_price_index","2012-11-01","0.91","0.92","0.91","0.91","XAF"
"","Cameroon","Market Average","Market Average","food_price_index","2012-12-01","0.92","0.92","0.91","0.91","XAF"
